,Compartments,%_mass,%_number,Concentration_g_m3,Concentration_num_m3
0,Ocean_Surface_Water,3.210524684752534e-09,7.915208903157695e-09,5.8553140888179615e-15,0.04991486081734583
1,Ocean_Mixed_Water,3.2152270462602587e-06,7.92698547574105e-06,5.863890195931437e-15,0.04998912619537889
2,Ocean_Column_Water,0.0620449238047304,0.1553803068583928,3.779215492764594e-12,32.72537829836376
3,Coast_Surface_Water,4.655399888604133e-11,1.2435292115562355e-10,3.3077213292907645e-15,0.030550703379512385
4,Coast_Column_Water,2.3339890491182882e-08,6.234072397010291e-08,3.3129064326434235e-15,0.030596764066561036
5,Surface_Freshwater,3.4746783127221736e-30,9.382630039091917e-30,2.4087883932721417e-34,2.2490646449809583e-21
6,Bulk_Freshwater,1.047020802043807e-27,2.8270400334741554e-27,2.415010546518309e-34,2.2547011171649656e-21
7,Sediment_Freshwater,6.299477565199846e-25,1.5986659465009966e-24,1.45300883495499e-28,1.2750133895768674e-15
8,Sediment_Ocean,99.93789914553015,99.84448361110935,0.0006087312766372315,2102871697.992045
9,Sediment_Coast,5.26888411097499e-05,0.00012808466650408498,1.2473990182290642e-08,104852.11457786534
10,Urban_Soil_Surface,1.7719839981593182e-26,4.4322052756643844e-26,3.95627162518074e-31,3.421680635338621e-18
11,Urban_Soil,0.0,0.0,0.0,0.0
12,Background_Soil_Surface,2.7998608369492435e-26,7.003199794999954e-26,3.95627162518074e-31,3.4216806353386204e-18
13,Background_Soil,0.0,0.0,0.0,0.0
14,Agricultural_Soil_Surface,9.332869456497476e-28,2.334399931666651e-27,9.890679062951847e-32,8.554201588346551e-19
15,Agricultural_Soil,0.0,0.0,0.0,0.0
16,Air,9.720643094322771e-29,2.399382114247796e-28,1.9929949430193026e-39,1.700998443426723e-26
