Model_box,Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Utopia,Ocean_Mixed_Water,heterBiofMP,mp2,8.022536812036404e-11,"[8.085996958399845e-13, 7.27739726255986e-12, 7.277397262559861e-11, 0.0, 0.0]",0.0,2.4675069159262567e-06,0.0,0.0,6.424418604651162e-10,0.000787933603333087,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,heterBiofMP,mp3,8.022536812036404e-11,"[9.512939430186434e-13, 8.56164548716779e-12, 0.0, 0.0, 0.0]",0.0,4.23019456023116e-10,0.0,0.0,6.424418604651162e-10,9.50279113769856e-06,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,heterBiofMP,mp4,8.022536812036404e-11,"[2.3782637593383765e-12, 0.0, 0.0, 0.0, 0.0]",0.0,1.4396066074782574e-12,0.0,0.0,6.424418604651162e-10,4.6335097443422664e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Mixed_Water,heterBiofMP,mp5,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,3.6455407335615047e-13,0.0,0.0,6.424418604651162e-10,2.2271596058211999e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Column_Water,freeMP,mp1,1.6045073624072808e-09,"[1.5854895991882293e-10, 1.4269406392694062e-09, 1.4269406392694062e-08, 1.4269406392694062e-07, 0.0]",11595765.596768307,0.0,3.858024691358025e-08,0.0,2.145631067961165e-11,0.0025759678410487504,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Column_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882293e-10, 1.4269406392694064e-09, 1.4269406392694064e-08, 0.0, 0.0]",1163.0995456926264,0.0,3.858024691358025e-08,0.0,2.145631067961165e-11,2.57596784104875e-05,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Column_Water,freeMP,mp3,1.6045073624072808e-09,"[1.5854895991882293e-10, 1.4269406392694064e-09, 0.0, 0.0, 0.0]",0.11988791105191464,0.0,3.858024691358025e-08,0.0,2.145631067961165e-11,2.57596784104875e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Column_Water,freeMP,mp4,1.6045073624072808e-09,"[1.5854895991882296e-10, 0.0, 0.0, 0.0, 0.0]",1.8319178610589018e-05,0.0,3.858024691358025e-08,0.0,2.145631067961165e-11,2.5759678410487505e-09,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Column_Water,freeMP,mp5,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.166841470937223e-07,0.0,3.858024691358025e-08,0.0,2.145631067961165e-11,2.5759678410487502e-11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Utopia,Ocean_Column_Water,heterMP,mp1,1.6045073624072808e-10,"[1.5854895991887585e-12, 1.4269406392698825e-11, 1.4269406392698825e-10, 1.4269406392698826e-09, 0.0]",0.0,0.01159576559679258,3.858024691358025e-08,0.0,2.145631067961165e-11,0.002575967841052423,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
