Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,freeMP,mp1,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.13335109813919e-07,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,1.3309632322818514e-06,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882293e-09, 0.0, 0.0, 0.0, 0.0]",2.8450016381994188e-05,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.00013309632322818519,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp3,1.6045073624072808e-09,"[7.927447995941148e-09, 7.927447995941148e-09, 0.0, 0.0, 0.0]",0.2052967342800998,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.013309632322818515,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp4,1.6045073624072808e-09,"[9.512937595129376e-08, 3.170979198376459e-08, 3.170979198376459e-08, 0.0, 0.0]",2002.0342215426874,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,1.3309632322818514,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,freeMP,mp5,1.6045073624072808e-09,"[1.1098427194317607e-06, 2.3782343987823441e-07, 1.5854895991882297e-07, 7.927447995941148e-08, 0.0]",19970033.398642533,0.0,1.1574074074074074e-06,0.0,8.546511627906976e-09,133.09632322818516,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp1,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,8.354802492701083e-16,1.1574074074074074e-06,0.0,8.546511627906976e-09,2.134923540476212e-06,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp2,1.6045073624072808e-10,"[1.586017919653587e-11, 0.0, 0.0, 0.0, 0.0]",0.0,2.848370913509139e-14,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.00013318782926315738,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp3,1.6045073624072808e-10,"[7.927450638422935e-11, 7.927450638422935e-11, 0.0, 0.0, 0.0]",0.0,2.052970103659176e-10,1.1574074074074074e-06,0.0,8.546511627906976e-09,0.013309641474991614,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp4,1.6045073624072808e-10,"[9.512937598300358e-10, 3.170979199433453e-10, 3.170979199433453e-10, 0.0, 0.0]",0.0,2.002034224252153e-06,1.1574074074074074e-06,0.0,8.546511627906976e-09,1.3309632331970704,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterMP,mp5,1.6045073624072808e-10,"[1.1098427194321308e-08, 2.3782343987831376e-09, 1.5854895991887585e-09, 7.927447995943792e-10, 0.0]",0.0,0.019970033398669616,1.1574074074074074e-06,0.0,8.546511627906976e-09,133.0963232282768,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
